placeID,parking_lot_fee,parking_lot_none,parking_lot_public,parking_lot_street,parking_lot_valet parking,parking_lot_validated parking,parking_lot_yes
132775,0,1,0,0,0,0,0
132776,0,1,0,0,0,0,0
132777,0,0,1,0,0,0,0
132778,0,1,0,0,0,0,0
132779,0,0,1,0,0,0,0
132780,0,0,1,0,0,0,0
132781,0,0,1,0,0,0,0
132782,0,0,0,0,0,0,1
132783,0,0,0,0,1,0,0
132784,0,0,0,0,1,0,0
132785,0,0,1,0,0,0,0
132786,0,0,0,0,1,0,0
132787,0,0,0,0,0,0,1
132788,0,0,0,0,0,0,1
132789,0,0,0,0,1,0,0
132790,0,0,0,0,1,0,0
132791,0,0,0,0,1,0,0
132792,0,0,0,0,1,0,0
132793,0,0,0,0,1,0,0
132794,0,1,0,0,0,0,0
132795,0,1,0,0,0,0,0
132796,0,0,0,0,0,0,1
132797,0,0,0,0,0,0,1
132798,1,0,0,0,0,0,0
132799,1,0,0,0,0,0,0
132801,0,0,0,0,0,0,1
132802,0,1,0,0,0,0,0
132803,0,1,0,0,0,0,0
132804,0,0,0,0,0,0,1
132805,0,0,0,0,0,0,1
132806,0,0,0,0,0,0,1
132807,0,0,0,0,0,0,1
132808,0,0,1,0,0,0,0
132809,0,1,0,0,0,0,0
132810,0,1,0,0,0,0,0
132811,0,0,0,0,0,0,1
132812,0,1,0,0,0,0,0
132813,0,1,0,0,0,0,0
132815,0,0,0,0,0,0,1
132816,0,1,0,0,0,0,0
132817,1,0,0,0,0,0,0
132818,1,0,0,0,0,0,0
132819,0,0,0,0,0,0,1
132820,1,0,0,0,0,0,0
132821,0,0,0,0,0,0,1
132822,0,1,0,0,0,0,0
132823,0,1,0,0,0,0,0
132824,0,0,0,0,0,0,1
132825,0,1,0,0,0,0,0
132826,0,0,1,0,0,0,0
132827,0,1,0,0,0,0,0
132828,0,0,0,0,0,0,1
132829,0,1,0,0,0,0,0
132830,0,1,0,0,0,0,0
132831,0,1,0,0,0,0,0
132832,0,1,0,0,0,0,0
132833,0,1,0,0,0,0,0
132834,0,0,1,0,0,0,0
132835,0,0,0,0,0,0,1
132836,0,1,0,0,0,0,0
132837,0,1,0,0,0,0,0
132838,0,1,0,0,0,0,0
132839,0,1,0,0,0,0,0
132840,0,1,0,0,0,0,0
132841,0,1,0,0,0,0,0
132842,0,1,0,0,0,0,0
132843,0,0,1,0,0,0,0
132844,0,1,0,0,0,0,0
132845,0,1,0,0,0,0,0
132846,0,1,0,0,0,0,0
132847,0,1,0,0,0,0,0
132848,0,1,0,0,0,0,0
132849,0,1,0,0,0,0,0
132850,0,0,0,0,0,0,1
132851,0,0,0,0,0,0,1
132852,0,0,1,0,0,0,0
132853,0,1,0,0,0,0,0
132854,0,0,0,0,0,0,1
132855,0,1,0,0,0,0,0
132856,0,1,0,0,0,0,0
132857,0,1,0,0,0,0,0
132858,0,1,0,0,0,0,0
132859,0,0,0,0,0,0,1
132860,0,0,0,0,0,0,1
132861,0,0,0,0,0,0,1
132862,0,0,0,0,1,0,0
132863,0,0,0,0,0,0,1
132864,0,0,1,0,0,0,0
132865,0,0,0,0,0,0,1
132866,0,0,0,0,0,0,1
132867,0,0,0,0,0,0,1
132868,0,0,1,0,0,0,0
132869,0,0,0,0,0,0,1
132870,0,1,0,0,0,0,0
132871,0,0,1,0,0,0,0
132872,0,0,1,0,0,0,0
132873,0,1,0,0,0,0,0
132874,0,1,0,0,0,0,0
132875,0,0,0,0,1,0,0
132876,0,1,0,0,0,0,0
132877,0,1,0,0,0,0,0
132878,0,1,0,0,0,0,0
132879,0,1,0,0,0,0,0
132880,0,0,0,0,0,0,1
132881,0,1,0,0,0,0,0
132882,0,1,0,0,0,0,0
132883,0,1,0,0,0,0,0
132884,0,1,0,0,0,0,0
132885,0,0,1,0,0,0,0
132886,0,1,0,0,0,0,0
132887,0,0,0,0,1,0,0
132888,0,0,0,0,0,0,1
132889,0,1,0,0,0,0,0
132890,0,1,0,0,0,0,0
132891,0,1,0,0,0,0,0
132892,0,0,0,0,0,0,1
132893,0,1,0,0,0,0,0
132894,0,1,0,0,0,0,0
132895,0,1,0,0,0,0,0
132896,0,1,0,0,0,0,0
132897,0,1,0,0,0,0,0
132898,0,1,0,0,0,0,0
132899,0,1,0,0,0,0,0
132900,0,0,1,0,0,0,0
132901,0,1,0,0,0,0,0
132902,0,1,0,0,0,0,0
132903,0,1,0,0,0,0,0
132904,0,1,0,0,0,0,0
132905,0,1,0,0,0,0,0
132906,0,1,0,0,0,0,0
132907,0,1,0,0,0,0,0
132908,0,1,0,0,0,0,0
132909,0,0,1,0,0,0,0
132910,0,1,0,0,0,0,0
132911,0,1,0,0,0,0,0
132912,0,1,0,0,0,0,0
132913,0,1,0,0,0,0,0
132914,0,1,0,0,0,0,0
132915,0,1,0,0,0,0,0
132916,0,1,0,0,0,0,0
132917,0,1,0,0,0,0,0
132918,0,1,0,0,0,0,0
132919,0,1,0,0,0,0,0
132920,0,1,0,0,0,0,0
132921,0,1,0,0,0,0,0
132922,0,1,0,0,0,0,0
132923,0,1,0,0,0,0,0
132924,0,1,0,0,0,0,0
132925,0,1,0,0,0,0,0
132926,0,1,0,0,0,0,0
132927,0,1,0,0,0,0,0
132928,0,1,0,0,0,0,0
132929,0,0,1,0,0,0,0
132930,0,1,0,0,0,0,0
132931,0,1,0,0,0,0,0
132932,0,0,1,0,0,0,0
132933,0,1,0,0,0,0,0
132934,0,1,0,0,0,0,0
132935,0,1,0,0,0,0,0
132936,0,1,0,0,0,0,0
132937,0,1,0,0,0,0,0
132938,0,1,0,0,0,0,0
132939,0,1,0,0,0,0,0
132940,0,1,0,0,0,0,0
132941,0,1,0,0,0,0,0
132942,0,1,0,0,0,0,0
132943,0,0,1,0,0,0,0
132944,0,1,0,0,0,0,0
132945,0,1,0,0,0,0,0
132946,0,0,1,0,0,0,0
132947,0,1,0,0,0,0,0
132948,0,1,0,0,0,0,0
132950,0,1,0,0,0,0,0
132951,0,0,0,0,0,0,1
132953,0,0,0,0,0,0,1
132954,0,0,0,0,0,0,1
132955,0,1,0,0,0,0,0
132956,0,1,0,0,0,0,0
132957,0,1,0,0,0,0,0
132958,0,1,0,0,0,0,0
132959,0,1,0,0,0,0,0
132960,0,0,0,0,0,0,1
132961,0,1,0,0,0,0,0
132962,0,1,0,0,0,0,0
132963,0,1,0,0,0,0,0
132964,0,1,0,0,0,0,0
132965,0,0,1,0,0,0,0
132966,0,0,1,0,0,0,0
132967,0,0,1,0,0,0,0
132968,0,0,0,0,0,0,1
132969,0,0,1,0,0,0,0
132970,0,1,0,0,0,0,0
132971,0,1,0,0,0,0,0
132972,0,1,0,0,0,0,0
132973,0,1,0,0,0,0,0
132974,0,1,0,0,0,0,0
132975,0,1,0,0,0,0,0
132976,0,1,0,0,0,0,0
132977,0,1,0,0,0,0,0
132978,0,1,0,0,0,0,0
132979,0,1,0,0,0,0,0
132980,0,1,0,0,0,0,0
132981,0,1,0,0,0,0,0
132982,0,1,0,0,0,0,0
132983,0,1,0,0,0,0,0
132984,0,1,0,0,0,0,0
132985,0,1,0,0,0,0,0
132986,0,1,0,0,0,0,0
132992,0,1,0,0,0,0,0
132993,0,1,0,0,0,0,0
132994,0,1,0,0,0,0,0
132995,0,1,0,0,0,0,0
132996,0,1,0,0,0,0,0
132997,0,0,1,0,0,0,0
132998,0,1,0,0,0,0,0
132999,0,1,0,0,0,0,0
133000,0,1,0,0,0,0,0
133001,0,1,0,0,0,0,0
133002,0,1,0,0,0,0,0
133003,0,1,0,0,0,0,0
133004,0,1,0,0,0,0,0
133005,0,1,0,0,0,0,0
133006,0,1,0,0,0,0,0
133007,0,1,0,0,0,0,0
133008,0,0,0,0,0,0,1
133009,0,0,0,0,0,0,1
133010,0,0,0,0,0,0,1
133011,0,1,0,0,0,0,0
133012,0,1,0,0,0,0,0
133013,0,1,0,0,0,0,0
133014,0,0,1,0,0,0,0
133015,0,1,0,0,0,0,0
133016,0,1,0,0,0,0,0
133017,0,1,0,0,0,0,0
133018,0,1,0,0,0,0,0
133019,0,1,0,0,0,0,0
133020,0,1,0,0,0,0,0
133021,0,1,0,0,0,0,0
133022,0,1,0,0,0,0,0
133023,0,1,0,0,0,0,0
133024,0,1,0,0,0,0,0
133025,0,1,0,0,0,0,0
133026,0,1,0,0,0,0,0
133027,0,1,0,0,0,0,0
133028,0,1,0,0,0,0,0
133029,0,0,0,0,0,0,1
133030,0,1,0,0,0,0,0
133031,0,1,0,0,0,0,0
133032,0,1,0,0,0,0,0
133033,0,1,0,0,0,0,0
133034,0,1,0,0,0,0,0
133035,0,0,1,0,0,0,0
133036,0,1,0,0,0,0,0
133037,0,1,0,0,0,0,0
133038,0,1,0,0,0,0,0
133039,0,1,0,0,0,0,0
133040,0,1,0,0,0,0,0
133041,0,1,0,0,0,0,0
133042,0,1,0,0,0,0,0
133043,0,0,0,0,0,0,1
133047,0,0,0,0,0,0,1
133048,0,0,0,0,0,0,1
133049,0,0,0,0,0,0,1
134970,0,0,0,0,0,0,1
134971,0,0,0,0,0,0,1
134972,0,1,0,0,0,0,0
134973,0,1,0,0,0,0,0
134974,0,0,0,0,0,0,1
134975,0,0,0,0,1,0,0
134976,0,0,0,0,0,0,1
134977,0,0,0,0,0,0,1
134978,0,0,0,0,0,0,1
134979,0,1,0,0,0,0,0
134980,0,1,0,0,0,0,0
134981,0,1,0,0,0,0,0
134982,0,1,0,0,0,0,0
134983,0,0,0,0,0,0,1
134984,0,0,0,0,0,0,1
134985,0,0,0,0,0,0,1
134986,0,0,0,0,0,0,1
134987,0,1,0,0,0,0,0
134988,0,0,0,0,1,0,0
134989,0,0,0,0,0,0,1
134990,0,0,0,0,0,0,1
134991,0,0,0,0,0,0,1
134992,0,0,0,0,0,0,1
134993,0,1,0,0,0,0,0
134994,0,1,0,0,0,0,0
134995,0,1,0,0,0,0,0
134996,0,0,0,0,0,0,1
134997,0,1,0,0,0,0,0
134998,0,0,0,0,0,0,1
134999,0,1,0,0,0,0,0
135000,0,1,0,0,0,0,0
135001,0,0,0,0,0,0,1
135002,0,1,0,0,0,0,0
135003,0,0,0,0,0,0,1
135004,0,1,0,0,0,0,0
135005,0,1,0,0,0,0,0
135006,0,0,0,0,0,0,1
135007,0,1,0,0,0,0,0
135008,0,0,0,0,0,0,1
135009,0,1,0,0,0,0,0
135010,0,1,0,0,0,0,0
135011,0,1,0,0,0,0,0
135012,0,1,0,0,0,0,0
135013,0,1,0,0,0,0,0
135014,0,1,0,0,0,0,0
135015,0,1,0,0,0,0,0
135016,0,1,0,0,0,0,0
135017,0,1,0,0,0,0,0
135018,0,0,0,0,0,0,1
135019,0,1,0,0,0,0,0
135020,0,0,0,0,0,0,1
135021,0,0,1,0,0,0,0
135022,0,1,0,0,0,0,0
135023,0,1,0,0,0,0,0
135024,0,0,0,0,0,0,1
135025,0,1,0,0,0,0,0
135026,0,1,0,0,0,0,0
135027,0,1,0,0,0,0,0
135028,0,1,0,0,0,0,0
135029,0,1,0,0,0,0,0
135030,0,1,0,0,0,0,0
135031,0,0,0,0,0,0,1
135032,0,0,1,0,0,0,0
135033,0,1,0,0,0,0,0
135034,0,1,0,0,0,0,0
135035,0,0,0,0,0,0,1
135036,0,0,0,0,0,0,1
135037,0,0,0,0,0,0,1
135038,0,1,0,0,0,0,0
135039,0,0,0,0,0,0,1
135040,0,0,0,0,0,0,1
135041,0,1,0,0,0,0,0
135042,0,1,0,0,0,0,0
135043,0,1,0,0,0,0,0
135044,0,1,0,0,0,0,0
135045,0,0,0,0,0,0,1
135046,0,0,0,0,0,0,1
135047,0,0,0,0,0,0,1
135048,0,0,0,0,0,0,1
135049,0,1,0,0,0,0,0
135050,0,0,0,0,0,0,1
135051,0,1,0,0,0,0,0
135052,0,1,0,0,0,0,0
135053,0,0,0,0,0,0,1
135054,0,0,0,0,0,0,1
135055,0,0,0,0,0,0,1
135056,0,1,0,0,0,0,0
135057,0,0,0,0,0,0,1
135058,0,0,1,0,0,0,0
135059,0,0,0,0,0,0,1
135060,0,1,0,0,0,0,0
135061,0,0,0,0,0,0,1
135062,0,0,0,0,0,0,1
135063,0,1,0,0,0,0,0
135064,0,0,0,0,0,0,1
135065,0,1,0,0,0,0,0
135066,0,0,0,0,0,0,1
135067,0,1,0,0,0,0,0
135068,0,0,0,0,0,0,1
135069,0,0,0,0,0,0,1
135070,0,0,0,0,0,0,1
135071,0,0,0,0,0,0,1
135072,0,1,0,0,0,0,0
135073,0,0,0,0,0,0,1
135074,0,0,1,0,0,0,0
135075,0,0,0,0,0,0,1
135076,0,0,0,0,0,0,1
135077,0,0,0,0,0,0,1
135078,0,0,0,0,0,0,1
135079,0,1,0,0,0,0,0
135080,0,1,0,0,0,0,0
135081,0,1,0,0,0,0,0
135082,0,1,0,0,0,0,0
135084,0,0,0,0,0,0,1
135085,0,0,1,0,0,0,0
135086,0,0,0,0,0,0,1
135088,0,0,1,0,0,0,0
135089,0,0,0,0,0,0,1
135090,0,0,1,0,0,0,0
135091,1,0,0,0,0,0,0
135092,0,1,0,0,0,0,0
135093,0,0,0,0,0,0,1
135094,0,0,1,0,0,0,0
135097,0,0,0,0,0,0,1
135098,0,0,0,0,1,0,0
135099,0,0,0,0,1,0,0
135100,0,1,0,0,0,0,0
135101,0,0,1,0,0,0,0
135102,0,0,0,0,1,0,0
135103,0,0,0,0,1,0,0
135104,0,0,0,0,0,0,1
135105,0,1,0,0,0,0,0
135106,0,1,0,0,0,0,0
135107,0,1,0,0,0,0,0
135108,0,1,0,0,0,0,0
135109,0,1,0,0,0,0,0
135110,0,1,0,0,0,0,0
135111,0,0,1,0,0,0,0
