0,1,2,3,4,5,6,7,8,9,10,11,12,13
U1117,0,0,3,1,2,1,1,1982,3,3,0,0,2
U1118,1,1,2,1,2,1,1,1987,3,3,4,1,2
U1119,0,0,1,0,2,1,1,1992,0,3,0,1,2
U1120,0,0,2,1,2,1,1,1930,4,1,4,1,1
U1121,0,2,3,0,2,0,1,1987,4,3,0,3,2
U1124,0,1,2,1,2,1,1,1991,1,1,0,1,1
U1125,0,1,1,1,2,1,1,1990,3,1,0,1,1
U1126,0,1,1,1,1,1,1,1990,3,1,0,1,1
U1127,0,0,3,2,2,1,1,1992,4,1,0,1,1
U1128,0,1,3,1,2,1,1,1986,4,3,0,1,1
U1129,0,1,3,1,2,1,1,1989,4,3,4,1,1
U1131,1,2,3,1,0,0,2,1990,0,1,4,1,2
U1133,0,0,3,0,0,1,1,1991,1,1,4,1,2
U1134,0,1,3,0,2,1,1,1991,4,1,0,1,2
U1135,0,1,2,0,1,1,2,1988,4,2,0,1,1
U1136,1,2,3,1,0,1,1,1990,2,3,0,1,1
U1137,0,2,1,0,2,1,1,1989,0,1,0,1,1
U1138,0,2,1,1,2,1,1,1991,4,3,4,1,2
