placeID,Rcuisine
132669,mexican
132668,mexican
132667,armenian
132666,mexican
132665,mexican
132664,mexican
132663,mexican
132662,mexican
132658,american
132657,mexican
132655,american
132653,american
132652,mexican
132650,american
132649,mexican
132648,african
132646,mexican
132645,american
132643,mexican
132642,african
132640,american
132638,american
132637,mexican
132636,american
132635,american
132634,mexican
132632,mexican
132631,mexican
132630,mexican
132629,mexican
132628,italian
132626,italian
132625,mexican
132624,mexican
132623,mexican
132622,chinese
132621,mexican
132620,fast_food
132619,mexican
132618,fast_food
132617,mexican
132615,mexican
132614,mexican
132613,mexican
132612,pizzeria
132611,mexican
132610,mexican
132609,fast_food
132608,mexican
132607,mexican
132606,american
132605,american
132604,cafeteria
132603,mexican
132602,mexican
132601,cafe-coffee_shop
132600,american
132599,mexican
132598,mexican
132596,mexican
132595,mexican
132594,mexican
132593,mexican
132592,mexican
132591,mexican
132590,hot_dogs
132589,cafeteria
132588,mexican
132587,american
132584,mexican
132583,american
132582,bakery
132581,dessert-ice_cream
132580,mexican
132579,fast_food
132578,mexican
132577,fast_food
132576,fast_food
132575,diner
132574,pizzeria
132573,hot_dogs
132572,cafeteria
132560,regional
132557,italian
132555,international
132555,polish
132555,vegetarian
132551,dutch-belgian
132550,italian
132549,international
132548,international
132547,international
132546,international
132545,international
132544,french
132543,dutch-belgian
132542,international
132541,steaks
132540,dutch-belgian
132539,cafe-coffee_shop
132538,international
132537,dutch-belgian
132536,dutch-belgian
132535,international
132533,french
132532,vegetarian
132531,barbecue
132531,dutch-belgian
132530,cafe-coffee_shop
132530,dutch-belgian
132529,international
132528,international
132527,french
132527,dutch-belgian
132526,international
132525,international
132524,international
132523,international
132522,international
132521,french
132521,dutch-belgian
132519,japanese
132518,japanese
132517,french
132514,dutch-belgian
132513,german
132511,german
132509,french
132493,seafood
132493,southwestern
132493,steaks
132491,bakery
132491,cafe-coffee_shop
132488,mexican
132487,southwestern
132485,cafe-coffee_shop
132484,italian
132483,armenian
132483,german
132483,persian
132482,german
132481,german
132479,german
132478,german
132477,chinese
132474,international
132474,regional
132470,german
132469,german
132468,german
132464,german
132459,dutch-belgian
132458,ethiopian
132457,juice
132456,juice
132455,juice
132454,juice
132453,juice
132452,juice
132451,italian
132450,dutch-belgian
132449,cafe-coffee_shop
132449,dutch-belgian
132448,dutch-belgian
132447,international
132446,french
132445,cafe-coffee_shop
132444,dutch-belgian
132443,french
132443,international
132442,french
132442,international
132441,dutch-belgian
132440,dutch-belgian
132439,french
132439,dutch-belgian
132438,mediterranean
132437,mediterranean
132436,international
132435,dutch-belgian
132434,dutch-belgian
132433,dutch-belgian
132432,cafe-coffee_shop
132430,italian
132429,dutch-belgian
132425,fast_food
132421,italian
132419,italian
132419,mediterranean
132417,italian
132417,mediterranean
132414,asian
132413,american
132413,international
132410,bar_pub_brewery
132409,seafood
132408,dutch-belgian
132407,mediterranean
132406,soup
132402,french
132399,cafe-coffee_shop
132398,dutch-belgian
132396,international
132393,mexican
132392,contemporary
132392,continental-european
132389,greek
132387,greek
132386,greek
132384,greek
132381,pizzeria
132380,pizzeria
132377,greek
132372,greek
132367,greek
132366,greek
132365,greek
132364,greek
132363,greek
132362,greek
132361,greek
132360,greek
132359,greek
132358,greek
132357,greek
132356,greek
132355,greek
132354,greek
132353,greek
132352,greek
132351,greek
132350,greek
132349,greek
132348,greek
132347,greek
132346,greek
132345,greek
132344,greek
132343,greek
132342,italian
132341,japanese
132341,sushi
132339,american
132337,cafe-coffee_shop
132336,american
132335,bar_pub_brewery
132333,japanese
132333,sushi
132332,international
132331,international
132330,international
132329,pizzeria
132329,deli-sandwiches
132328,pizzeria
132328,deli-sandwiches
132326,pizzeria
132324,international
132321,international
132319,french
132319,dutch-belgian
132318,mediterranean
132318,cafe-coffee_shop
132317,french
132317,dutch-belgian
132316,dutch-belgian
132315,continental-european
132312,chinese
132312,vietnamese
132310,southwestern
132306,breakfast-brunch
132302,american
132302,polish
132300,pizzeria
132299,dutch-belgian
132298,international
132297,french
132296,barbecue
132296,french
132296,dutch-belgian
132295,dutch-belgian
132294,southern
132292,cafe-coffee_shop
132289,contemporary
132289,french
132284,pizzeria
132284,italian
132283,cafe-coffee_shop
132281,bar_pub_brewery
132280,american
132275,latin_american
132274,mexican
132273,spanish
132273,latin_american
132272,contemporary
132271,bar_pub_brewery
132270,bar_pub_brewery
132269,chinese
132268,chinese
132266,chinese
132265,asian
132262,chinese
132258,cafeteria
132258,polish
132258,seafood
132257,bar_pub_brewery
132255,game
132255,bar_pub_brewery
132253,cafeteria
132253,polish
132253,fast_food
132250,eastern_european
132249,international
132247,pizzeria
132246,italian
132246,mediterranean
132245,german
132244,french
132244,german
132244,italian
132243,french
132243,italian
132242,greek
132240,american
132240,bar_pub_brewery
132239,burgers
132238,japanese
132238,sushi
132237,japanese
132237,seafood
132237,sushi
132235,american
132235,burgers
132234,italian
132233,italian
132232,italian
132231,italian
132230,italian
132229,italian
132228,california
132228,italian
132226,american
132226,seafood
132225,chinese
132223,bakery
132223,cafe-coffee_shop
132223,deli-sandwiches
132221,american
132220,french
132218,dutch-belgian
132217,pizzeria
132217,italian
132216,pizzeria
132216,italian
132215,dutch-belgian
132214,american
132214,bar_pub_brewery
132213,cafe-coffee_shop
132212,french
132211,french
132210,chinese
132209,chinese
132208,dutch-belgian
132207,international
132207,italian
132206,international
132204,international
132203,dutch-belgian
132201,french
132192,dutch-belgian
132191,polish
132187,cafe-coffee_shop
132187,bar_pub_brewery
132186,pizzeria
132186,italian
132184,italian
132184,mediterranean
132182,italian
132182,continental-european
132180,italian
132177,bagels
132177,cafe-coffee_shop
132177,deli-sandwiches
132175,chinese
132174,chinese
132171,asian
132171,chinese
132167,bar_pub_brewery
132166,french
132166,international
132166,dutch-belgian
132165,international
132164,international
132163,cafe-coffee_shop
132162,international
132161,french
132161,international
132160,dutch-belgian
132159,french
132157,greek
132156,dutch-belgian
132155,french
132155,mediterranean
132147,pizzeria
132147,deli-sandwiches
132146,deli-sandwiches
132145,deli-sandwiches
132138,bakery
132137,pizzeria
132137,deli-sandwiches
132136,pizzeria
132133,japanese
132132,pizzeria
132131,italian
132130,turkish
132128,vegetarian
132128,fast_food
132127,eastern_european
132126,family
132126,mexican
132125,family
132125,mexican
132121,italian
132120,asian
132119,vegetarian
132118,vegetarian
132116,asian
132115,asian
132114,cafe-coffee_shop
132109,vegetarian
132109,organic-healthy
132108,japanese
132108,steaks
132108,sushi
132107,japanese
132106,vegetarian
132105,french
132103,italian
132102,cafe-coffee_shop
132101,american
132101,bar_pub_brewery
132100,american
132100,bar_pub_brewery
132098,dutch-belgian
132097,cafe-coffee_shop
132096,dutch-belgian
132094,pizzeria
132092,family
132087,cafe-coffee_shop
132083,international
132031,family
132031,german
132031,fine_dining
132030,french
132030,dutch-belgian
132028,italian
132028,seafood
132026,dutch-belgian
132025,dutch-belgian
132024,seafood
132024,continental-european
132023,french
132023,dutch-belgian
132022,dutch-belgian
132021,dutch-belgian
132020,international
132019,dutch-belgian
132018,dutch-belgian
132017,dutch-belgian
132016,international
132015,dutch-belgian
132014,dutch-belgian
132013,international
132012,french
132012,dutch-belgian
132010,mediterranean
132010,dutch-belgian
132009,international
132008,international
132007,mediterranean
132006,dutch-belgian
132005,french
132005,seafood
132004,seafood
132003,international
132002,seafood
132001,dutch-belgian
