placeID,city,state,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services
135055,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,high,familiar,f,closed,none
135108,san luis potosi,Nan,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135074,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,high,familiar,f,closed,none
135018,cuernavaca,morelos,full_bar,permitted,informal,completely,medium,familiar,f,open,variety
135064,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,high,familiar,f,closed,none
135038,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,medium,familiar,f,closed,none
135081,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132723,Nan,san luis potosi,full_bar,permitted,informal,completely,medium,familiar,f,closed,none
135051,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,low,familiar,f,closed,none
135021,cuernavaca,morelos,no_alcohol_served,not permitted,informal,no_accessibility,low,familiar,t,closed,none
135052,san luis potosi,san luis potosi,full_bar,not permitted,informal,no_accessibility,high,familiar,f,closed,none
132845,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135011,jiutepec,morelos,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,t,closed,none
132858,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135026,san luis potosi,san luis potosi,full_bar,not permitted,informal,no_accessibility,high,familiar,f,closed,none
132884,Nan,Nan,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135016,cuernavaca,morelos,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135104,Nan,Nan,full_bar,not permitted,informal,completely,medium,familiar,t,closed,variety
132630,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135047,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,high,familiar,f,closed,none
132951,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132665,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135044,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135035,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,high,familiar,f,closed,none
135071,san luis potosi,san luis potosi,full_bar,permitted,informal,no_accessibility,medium,familiar,f,closed,none
132834,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,low,familiar,f,closed,none
132846,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,low,familiar,f,open,none
135048,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,high,familiar,f,closed,none
132717,Nan,Nan,no_alcohol_served,not permitted,informal,partially,medium,familiar,f,closed,none
132861,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,medium,familiar,t,closed,none
132885,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132740,ciudad victoria,tamaulipas,no_alcohol_served,permitted,informal,completely,low,familiar,f,open,none
132830,Nan,Nan,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132773,cuernavaca,morelos,wine-beer,permitted,informal,no_accessibility,low,familiar,f,open,none
132706,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,t,closed,none
132872,san luis potosi,mexico,no_alcohol_served,not permitted,informal,partially,medium,familiar,f,closed,none
134987,cuernavaca,morelos,wine-beer,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132572,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132958,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,low,quiet,t,closed,none
132733,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,medium,familiar,t,closed,none
132922,Nan,Nan,no_alcohol_served,permitted,formal,completely,medium,familiar,f,closed,none
132715,Nan,Nan,no_alcohol_served,not permitted,informal,no_accessibility,low,quiet,f,open,none
135027,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132767,jiutepec,morelos,wine-beer,permitted,informal,partially,medium,familiar,f,open,variety
135039,san luis potosi,san luis potosi,no_alcohol_served,permitted,informal,no_accessibility,low,familiar,f,closed,none
134996,cuernavaca,morelos,wine-beer,permitted,informal,no_accessibility,medium,familiar,t,closed,internet
132755,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,partially,medium,familiar,f,closed,variety
135043,soledad,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132654,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
135049,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135073,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,high,familiar,f,closed,none
132560,ciudad victoria,tamaulipas,no_alcohol_served,permitted,informal,no_accessibility,low,familiar,f,open,none
134976,Nan,Nan,no_alcohol_served,not permitted,informal,no_accessibility,low,familiar,f,closed,none
135075,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132660,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132921,Nan,Nan,wine-beer,permitted,informal,completely,low,quiet,f,open,none
132594,Nan,Nan,no_alcohol_served,not permitted,informal,completely,low,familiar,f,open,none
134986,cuernavaca,morelos,wine-beer,not permitted,formal,no_accessibility,high,familiar,f,closed,none
135062,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132766,cuernavaca,morelos,wine-beer,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135088,cuernavaca,morelos,no_alcohol_served,not permitted,informal,no_accessibility,low,quiet,f,closed,none
135058,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,t,closed,none
132754,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,partially,medium,familiar,f,closed,none
132584,Nan,Nan,no_alcohol_served,not permitted,informal,completely,medium,familiar,t,closed,none
135032,san luis potosi,san luis potosi,wine-beer,permitted,informal,no_accessibility,medium,familiar,f,closed,none
135028,san luis potosi,san luis potosi,wine-beer,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135085,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132663,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132626,ciudad victoria,tamaulipas,no_alcohol_served,not permitted,informal,completely,medium,familiar,t,closed,none
132583,cuernavaca,morelos,no_alcohol_served,not permitted,informal,partially,low,familiar,t,closed,none
132866,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,completely,medium,familiar,f,closed,none
135072,san luis potosi,san luis potosi,no_alcohol_served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
135109,Nan,Nan,wine-beer,not permitted,informal,no_accessibility,medium,quiet,f,closed,internet
135019,jiutepec,morelos,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
132877,Nan,Nan,no_alcohol_served,not permitted,informal,completely,low,familiar,f,closed,none
